n,time
100000,0.00
200000,0.02
300000,0.03
400000,0.05
500000,0.06
600000,0.07
700000,0.09
800000,0.10
900000,0.12
1000000,0.14
1100000,0.15
1200000,0.16
1300000,0.20
1400000,0.18
1500000,0.20
1600000,0.20
1700000,0.23
1800000,0.24
1900000,0.25
2000000,0.26
2100000,0.28
2200000,0.30
2300000,0.31
2400000,0.32
2500000,0.33
2600000,0.35
2700000,0.35
2800000,0.38
2900000,0.38
3000000,0.40
3100000,0.40
3200000,0.43
3300000,0.44
3400000,0.46
3500000,0.48
3600000,0.51
3700000,0.49
3800000,0.53
3900000,0.51
4000000,0.53
4100000,0.54
4200000,0.54
4300000,0.57
4400000,0.58
4500000,0.60
4600000,0.60
4700000,0.61
4800000,0.63
4900000,0.65
5000000,0.65
5100000,0.68
5200000,0.79
5300000,0.76
5400000,0.72
5500000,0.79
5600000,0.76
5700000,0.84
5800000,0.80
5900000,1.05
6000000,1.29
6100000,0.93
6200000,0.94
6300000,0.95
6400000,0.85
6500000,0.87
6600000,1.04
6700000,0.94
6800000,0.89
6900000,0.92
7000000,0.93
7100000,0.93
7200000,0.96
7300000,0.98
7400000,0.98
7500000,1.06
7600000,1.79
7700000,1.34
7800000,1.82
7900000,1.35
8000000,1.07
8100000,1.23
8200000,1.24
8300000,1.99
8400000,1.22
8500000,1.14
8600000,1.17
8700000,1.19
8800000,1.25
8900000,1.28
9000000,1.38
9100000,1.44
9200000,1.30
9300000,1.29
9400000,1.33
9500000,1.39
9600000,1.30
9700000,1.29
9800000,1.31
9900000,1.35
10000000,1.44
